id	predicted
eng_test_143	1
eng_test_144	1
eng_test_145	1
eng_test_146	0
eng_test_147	1
eng_test_148	1
eng_test_149	1
eng_test_150	1
eng_test_151	1
eng_test_152	0
eng_test_153	0
eng_test_154	0
eng_test_155	0
eng_test_156	0
eng_test_157	1
eng_test_158	1
eng_test_159	1
eng_test_160	0
eng_test_161	1
eng_test_162	1
eng_test_163	0
eng_test_164	0
eng_test_165	1
eng_test_166	1
eng_test_167	0
eng_test_168	0
eng_test_169	0
eng_test_170	1
eng_test_171	1
eng_test_172	0
eng_test_173	0
eng_test_174	1
eng_test_175	0
eng_test_176	0
eng_test_177	0
eng_test_178	0
eng_test_179	0
eng_test_180	1
eng_test_181	1
eng_test_182	1
eng_test_183	0
eng_test_184	0
eng_test_185	0
eng_test_186	1
eng_test_187	1
eng_test_188	0
eng_test_189	1
eng_test_190	1
eng_test_191	0
eng_test_192	0
eng_test_193	0
eng_test_194	0
eng_test_195	0
eng_test_196	1
eng_test_197	1
eng_test_198	0
eng_test_199	1
eng_test_200	1
eng_test_201	0
eng_test_202	0
eng_test_203	1
eng_test_204	0
eng_test_205	0
eng_test_206	0
eng_test_207	0
eng_test_208	0
eng_test_209	0
eng_test_210	1
eng_test_211	0
eng_test_212	1
eng_test_213	1
eng_test_214	0
eng_test_215	0
eng_test_216	1
eng_test_217	1
eng_test_218	0
eng_test_219	1
eng_test_220	1
eng_test_221	0
eng_test_222	1
eng_test_223	1
eng_test_224	0
eng_test_225	0
eng_test_226	0
eng_test_227	1
eng_test_228	1
eng_test_229	0
eng_test_230	1
eng_test_231	1
eng_test_232	0
eng_test_233	1
eng_test_234	0
eng_test_235	1
eng_test_236	1
eng_test_237	1
eng_test_238	1
eng_test_239	1
eng_test_240	1
eng_test_241	1
eng_test_242	1
eng_test_243	0
eng_test_244	1
eng_test_245	1
eng_test_246	0
eng_test_247	1
eng_test_248	1
eng_test_249	0
eng_test_250	1
eng_test_251	0
eng_test_252	1
eng_test_253	0
eng_test_254	1
eng_test_255	0
eng_test_256	1
eng_test_257	0
eng_test_258	0
eng_test_259	1
eng_test_260	1
eng_test_261	0
eng_test_262	0
eng_test_263	1
eng_test_264	0
eng_test_265	0
eng_test_266	0
eng_test_267	1
eng_test_268	0
eng_test_269	1
eng_test_270	0
eng_test_271	1
eng_test_272	1
eng_test_273	1
eng_test_274	1
eng_test_275	0
eng_test_276	0
eng_test_277	1
eng_test_278	0
eng_test_279	1
eng_test_280	1
eng_test_281	1
eng_test_282	1
eng_test_283	1
eng_test_284	1
eng_test_285	1
eng_test_286	0
eng_test_287	0
eng_test_288	1
eng_test_289	1
eng_test_290	0
eng_test_291	0
eng_test_292	1
eng_test_293	0
eng_test_294	1
eng_test_295	1
eng_test_296	1
eng_test_297	0
eng_test_298	1
eng_test_299	1
eng_test_300	0
eng_test_301	1
eng_test_302	0
eng_test_303	1
eng_test_304	0
eng_test_305	1
eng_test_306	1
eng_test_307	1
eng_test_308	1
eng_test_309	0
eng_test_310	1
eng_test_311	0
eng_test_312	0
eng_test_313	1
eng_test_314	0
eng_test_315	1
eng_test_316	1
eng_test_317	1
eng_test_318	1
eng_test_319	1
eng_test_320	0
eng_test_321	0
eng_test_322	1
eng_test_323	1
eng_test_324	0
eng_test_325	1
eng_test_326	1
eng_test_327	1
eng_test_328	0
eng_test_329	1
eng_test_330	0
eng_test_331	1
eng_test_332	0
eng_test_333	0
eng_test_334	0
eng_test_335	0
eng_test_336	1
eng_test_337	0
eng_test_338	0
eng_test_339	1
eng_test_340	0
eng_test_341	1
eng_test_342	0
eng_test_343	1
eng_test_344	0
eng_test_345	1
eng_test_346	1
eng_test_347	0
eng_test_348	1
eng_test_349	0
eng_test_350	0
eng_test_351	1
eng_test_352	1
eng_test_353	1
eng_test_354	0
eng_test_355	1
eng_test_356	1
eng_test_357	1
eng_test_358	0
eng_test_359	1
eng_test_360	1
eng_test_361	1
eng_test_362	1
eng_test_363	1
eng_test_364	0
eng_test_365	0
eng_test_366	0
eng_test_367	1
eng_test_368	0
eng_test_369	1
eng_test_370	0
eng_test_371	0
eng_test_372	1
eng_test_373	1
eng_test_374	1
eng_test_375	0
eng_test_376	0
eng_test_377	0
eng_test_378	0
eng_test_379	0
eng_test_380	0
eng_test_381	1
eng_test_382	1
eng_test_383	1
eng_test_384	1
eng_test_385	0
eng_test_386	1
eng_test_387	0
eng_test_388	1
eng_test_389	0
eng_test_390	0
eng_test_391	1
eng_test_392	1
eng_test_393	1
eng_test_394	0
eng_test_395	1
eng_test_396	0
eng_test_397	1
eng_test_398	1
eng_test_399	0
eng_test_400	1
eng_test_401	0
eng_test_402	0
eng_test_403	0
eng_test_404	0
eng_test_405	1
eng_test_406	1
eng_test_407	0
eng_test_408	1
eng_test_409	0
eng_test_410	0
eng_test_411	1
eng_test_412	0
eng_test_413	0
eng_test_414	1
eng_test_415	0
eng_test_416	0
eng_test_417	1
eng_test_418	0
eng_test_419	1
eng_test_420	0
eng_test_421	0
eng_test_422	0
eng_test_423	1
eng_test_424	1
eng_test_425	0
eng_test_426	0
eng_test_427	0
eng_test_428	0
eng_test_429	0
eng_test_430	0
eng_test_431	0
eng_test_432	1
eng_test_433	1
eng_test_434	1
eng_test_435	1
eng_test_436	0
eng_test_437	1
eng_test_438	1
eng_test_439	0
eng_test_440	1
eng_test_441	1
eng_test_442	1
eng_test_443	1
eng_test_444	1
eng_test_445	1
eng_test_446	1
eng_test_447	0
eng_test_448	1
eng_test_449	1
eng_test_450	1
eng_test_451	0
eng_test_452	0
eng_test_453	1
eng_test_454	1
eng_test_455	1
eng_test_456	0
eng_test_457	0
eng_test_458	0
eng_test_459	1
eng_test_460	1
eng_test_461	1
eng_test_462	1
eng_test_463	0
eng_test_464	0
eng_test_465	1
eng_test_466	0
eng_test_467	1
eng_test_468	0
eng_test_469	1
eng_test_470	0
eng_test_471	1
eng_test_472	1
eng_test_473	1
eng_test_474	0
eng_test_475	0
eng_test_476	1
eng_test_477	1
eng_test_478	1
eng_test_479	0
eng_test_480	0
eng_test_481	1
eng_test_482	1
eng_test_483	0
eng_test_484	1
eng_test_485	0
eng_test_486	0
eng_test_487	0
eng_test_488	1
eng_test_489	0
eng_test_490	1
eng_test_491	1
eng_test_492	0
eng_test_493	1
eng_test_494	0
eng_test_495	1
eng_test_496	1
eng_test_497	0
eng_test_498	0
eng_test_499	1
eng_test_500	0
eng_test_501	1
eng_test_502	1
eng_test_503	1
eng_test_504	0
eng_test_505	1
eng_test_506	1
eng_test_507	1
eng_test_508	0
eng_test_509	1
eng_test_510	1
eng_test_511	0
eng_test_512	0
eng_test_513	1
eng_test_514	0
eng_test_515	1
eng_test_516	0
eng_test_517	0
eng_test_518	1
eng_test_519	1
eng_test_520	1
eng_test_521	1
eng_test_522	1
eng_test_523	1
eng_test_524	0
eng_test_525	1
eng_test_526	0
eng_test_527	1
eng_test_528	1
eng_test_529	1
eng_test_530	1
eng_test_531	1
eng_test_532	0
eng_test_533	0
eng_test_534	0
eng_test_535	1
eng_test_536	1
eng_test_537	0
eng_test_538	1
eng_test_539	1
eng_test_540	1
eng_test_541	1
eng_test_542	0
eng_test_543	0
eng_test_544	1
eng_test_545	1
eng_test_546	0
eng_test_547	1
eng_test_548	1
eng_test_549	1
eng_test_550	1
eng_test_551	0
eng_test_552	0
eng_test_553	1
eng_test_554	1
eng_test_555	0
eng_test_556	1
eng_test_557	1
eng_test_558	1
eng_test_559	1
eng_test_560	0
eng_test_561	0
eng_test_562	0
eng_test_563	1
eng_test_564	1
eng_test_565	1
eng_test_566	1
eng_test_567	1
eng_test_568	0
eng_test_569	1
eng_test_570	1
eng_test_571	1
eng_test_572	0
eng_test_573	1
eng_test_574	1
eng_test_575	0
eng_test_576	0
eng_test_577	0
eng_test_578	1
eng_test_579	1
eng_test_580	0
eng_test_581	0
eng_test_582	1
eng_test_583	1
eng_test_584	1
eng_test_585	1
eng_test_586	1
eng_test_587	0
eng_test_588	1
eng_test_589	1
eng_test_590	0
eng_test_591	1
eng_test_592	0
eng_test_593	0
eng_test_594	1
eng_test_595	1
eng_test_596	1
eng_test_597	1
eng_test_598	0
eng_test_599	0
eng_test_600	0
eng_test_601	0
eng_test_602	1
eng_test_603	1
eng_test_604	1
eng_test_605	1
eng_test_606	0
eng_test_607	1
eng_test_608	1
eng_test_609	0
eng_test_610	0
eng_test_611	1
eng_test_612	1
eng_test_613	1
eng_test_614	1
eng_test_615	0
eng_test_616	0
eng_test_617	1
eng_test_618	1
eng_test_619	1
eng_test_620	0
eng_test_621	0
eng_test_622	0
eng_test_623	0
eng_test_624	0
eng_test_625	1
eng_test_626	1
eng_test_627	1
eng_test_628	0
eng_test_629	1
eng_test_630	1
eng_test_631	1
eng_test_632	0
eng_test_633	1
eng_test_634	0
eng_test_635	1
eng_test_636	0
eng_test_637	0
eng_test_638	1
eng_test_639	1
eng_test_640	1
eng_test_641	0
eng_test_642	1
eng_test_643	1
eng_test_644	0
eng_test_645	0
eng_test_646	0
eng_test_647	1
eng_test_648	1
eng_test_649	0
eng_test_650	0
eng_test_651	0
eng_test_652	1
eng_test_653	0
eng_test_654	1
eng_test_655	0
eng_test_656	1
eng_test_657	0
eng_test_658	1
eng_test_659	0
eng_test_660	0
eng_test_661	1
eng_test_662	1
eng_test_663	0
eng_test_664	1
eng_test_665	0
eng_test_666	1
eng_test_667	0
eng_test_668	0
eng_test_669	1
eng_test_670	0
eng_test_671	0
eng_test_672	0
eng_test_673	1
eng_test_674	1
eng_test_675	1
eng_test_676	0
eng_test_677	1
eng_test_678	0
eng_test_679	0
eng_test_680	0
eng_test_681	1
eng_test_682	1
eng_test_683	0
eng_test_684	1
eng_test_685	0
eng_test_686	0
eng_test_687	1
eng_test_688	0
eng_test_689	1
eng_test_690	0
eng_test_691	1
eng_test_692	1
eng_test_693	1
eng_test_694	1
eng_test_695	1
eng_test_696	0
eng_test_697	0
eng_test_698	1
eng_test_699	1
eng_test_700	1
eng_test_701	1
eng_test_702	1
eng_test_703	0
eng_test_704	1
eng_test_705	0
eng_test_706	0
eng_test_707	1
eng_test_708	1
eng_test_709	1
eng_test_710	1
eng_test_711	1
eng_test_712	1
eng_test_713	0
eng_test_714	1
eng_test_715	0
eng_test_716	1
eng_test_717	0
eng_test_718	0
eng_test_719	1
eng_test_720	1
eng_test_721	1
eng_test_722	1
eng_test_723	1
eng_test_724	1
eng_test_725	0
eng_test_726	1
eng_test_727	0
eng_test_728	1
eng_test_729	0
eng_test_730	0
eng_test_731	1
eng_test_732	1
eng_test_733	1
eng_test_734	0
eng_test_735	1
eng_test_736	0
eng_test_737	1
eng_test_738	1
eng_test_739	1
eng_test_740	1
eng_test_741	1
eng_test_742	1
eng_test_743	1
eng_test_744	0
eng_test_745	0
eng_test_746	1
eng_test_747	1
eng_test_748	1
eng_test_749	1
eng_test_750	0
eng_test_751	1
eng_test_752	1
eng_test_753	0
eng_test_754	1
eng_test_755	1
eng_test_756	0
eng_test_757	1
eng_test_758	0
eng_test_759	0
eng_test_760	0
eng_test_761	1
eng_test_762	1
eng_test_763	0
eng_test_764	1
eng_test_765	1
eng_test_766	1
eng_test_767	1
eng_test_768	1
eng_test_769	1
eng_test_770	0
eng_test_771	1
eng_test_772	1
eng_test_773	0
eng_test_774	0
eng_test_775	1
eng_test_776	1
eng_test_777	0
eng_test_778	1
eng_test_779	1
eng_test_780	1
eng_test_781	0
eng_test_782	1
eng_test_783	1
eng_test_784	0
eng_test_785	0
eng_test_786	1
eng_test_787	1
eng_test_788	1
eng_test_789	1
eng_test_790	0
eng_test_791	1
eng_test_792	1
eng_test_793	0
eng_test_794	0
eng_test_795	1
eng_test_796	1
eng_test_797	1
eng_test_798	1
eng_test_799	0
eng_test_800	0
eng_test_801	0
eng_test_802	0
eng_test_803	1
eng_test_804	0
eng_test_805	1
eng_test_806	0
eng_test_807	1
eng_test_808	1
eng_test_809	1
eng_test_810	0
eng_test_811	1
eng_test_812	0
eng_test_813	1
eng_test_814	0
eng_test_815	0
eng_test_816	1
eng_test_817	1
eng_test_818	1
eng_test_819	0
eng_test_820	1
eng_test_821	1
eng_test_822	1
eng_test_823	0
eng_test_824	0
eng_test_825	1
eng_test_826	1
eng_test_827	0
eng_test_828	0
eng_test_829	1
eng_test_830	1
eng_test_831	0
eng_test_832	0
eng_test_833	1
eng_test_834	0
eng_test_835	0
eng_test_836	1
eng_test_837	1
eng_test_838	1
eng_test_839	0
eng_test_840	0
eng_test_841	0
eng_test_842	0
eng_test_843	1
eng_test_844	1
eng_test_845	0
eng_test_846	0
eng_test_847	1
eng_test_848	0
eng_test_849	0
eng_test_850	0
eng_test_851	1
eng_test_852	0
eng_test_853	1
eng_test_854	1
eng_test_855	0
eng_test_856	1
eng_test_857	1
eng_test_858	0
eng_test_859	1
eng_test_860	1
eng_test_861	0
eng_test_862	1
eng_test_863	0
eng_test_864	0
eng_test_865	0
eng_test_866	1
eng_test_867	1
eng_test_868	1
eng_test_869	0
eng_test_870	1
eng_test_871	1
eng_test_872	0
eng_test_873	1
eng_test_874	1
eng_test_875	1
eng_test_876	0
eng_test_877	1
eng_test_878	0
eng_test_879	1
eng_test_880	1
eng_test_881	1
eng_test_882	1
eng_test_883	1
eng_test_884	1
eng_test_885	0
eng_test_886	0
eng_test_887	1
eng_test_888	0
eng_test_889	1
eng_test_890	0
eng_test_891	0
eng_test_892	1
eng_test_893	0
eng_test_894	0
eng_test_895	0
eng_test_896	0
eng_test_897	1
eng_test_898	1
eng_test_899	0
eng_test_900	1
eng_test_901	1
eng_test_902	0
eng_test_903	1
eng_test_904	0
eng_test_905	1
eng_test_906	1
eng_test_907	0
eng_test_908	0
eng_test_909	0
eng_test_910	0
eng_test_911	0
eng_test_912	1
eng_test_913	1
eng_test_914	1
eng_test_915	0
eng_test_916	0
eng_test_917	0
eng_test_918	1
eng_test_919	0
eng_test_920	0
eng_test_921	0
eng_test_922	1
eng_test_923	1
eng_test_924	1
eng_test_925	0
eng_test_926	1
eng_test_927	0
eng_test_928	1
eng_test_929	1
eng_test_930	0
eng_test_931	1
eng_test_932	0
eng_test_933	1
eng_test_934	0
eng_test_935	1
eng_test_936	0
eng_test_937	1
eng_test_938	1
eng_test_939	1
eng_test_940	0
eng_test_941	0
eng_test_942	0
eng_test_943	1
eng_test_944	1
eng_test_945	1
eng_test_946	0
eng_test_947	0
eng_test_948	1
eng_test_949	1
eng_test_950	0
eng_test_951	0
eng_test_952	1
eng_test_953	1
eng_test_954	0
eng_test_955	1
eng_test_956	0
eng_test_957	0
eng_test_958	0
eng_test_959	0
eng_test_960	0
eng_test_961	1
eng_test_962	0
eng_test_963	0
eng_test_964	1
eng_test_965	0
eng_test_966	0
eng_test_967	0
eng_test_968	1
eng_test_969	1
eng_test_970	1
eng_test_971	0
eng_test_972	1
eng_test_973	1
eng_test_974	0
eng_test_975	1
eng_test_976	1
eng_test_977	0
eng_test_978	1
eng_test_979	1
eng_test_980	1
eng_test_981	1
eng_test_982	1
eng_test_983	1
eng_test_984	0
eng_test_985	0
eng_test_986	1
eng_test_987	1
eng_test_988	0
eng_test_989	0
eng_test_990	1
eng_test_991	0
eng_test_992	1
eng_test_993	1
eng_test_994	0
eng_test_995	1
eng_test_996	0
eng_test_997	0
eng_test_998	1
eng_test_999	1
eng_test_1000	1
eng_test_1001	1
eng_test_1002	0
eng_test_1003	0
eng_test_1004	0
eng_test_1005	1
eng_test_1006	1
eng_test_1007	0
eng_test_1008	0
eng_test_1009	0
eng_test_1010	1
eng_test_1011	1
eng_test_1012	1
eng_test_1013	1
eng_test_1014	1
eng_test_1015	1
eng_test_1016	1
eng_test_1017	1
eng_test_1018	1
eng_test_1019	1
eng_test_1020	0
eng_test_1021	0
eng_test_1022	0
eng_test_1023	0
eng_test_1024	0
eng_test_1025	1
eng_test_1026	1
eng_test_1027	1
eng_test_1028	0
eng_test_1029	1
eng_test_1030	1
eng_test_1031	0
eng_test_1032	0
eng_test_1033	1
eng_test_1034	0
eng_test_1035	1
eng_test_1036	1
eng_test_1037	1
eng_test_1038	1
eng_test_1039	1
eng_test_1040	1
eng_test_1041	0
eng_test_1042	1
eng_test_1043	1
eng_test_1044	0
eng_test_1045	1
eng_test_1046	0
eng_test_1047	0
eng_test_1048	1
eng_test_1049	1
eng_test_1050	0
eng_test_1051	1
eng_test_1052	1
eng_test_1053	0
eng_test_1054	0
eng_test_1055	1
eng_test_1056	1
eng_test_1057	1
eng_test_1058	1
eng_test_1059	1
eng_test_1060	1
eng_test_1061	0
eng_test_1062	0
eng_test_1063	0
eng_test_1064	1
eng_test_1065	0
eng_test_1066	1
eng_test_1067	0
eng_test_1068	1
eng_test_1069	0
eng_test_1070	1
eng_test_1071	0
eng_test_1072	1
eng_test_1073	1
eng_test_1074	0
eng_test_1075	1
eng_test_1076	1
eng_test_1077	0
eng_test_1078	0
eng_test_1079	1
eng_test_1080	0
eng_test_1081	0
eng_test_1082	0
eng_test_1083	0
eng_test_1084	1
eng_test_1085	0
eng_test_1086	1
eng_test_1087	0
eng_test_1088	1
eng_test_1089	1
eng_test_1090	1
eng_test_1091	1
eng_test_1092	1
eng_test_1093	1
eng_test_1094	1
eng_test_1095	0
eng_test_1096	1
eng_test_1097	0
eng_test_1098	0
eng_test_1099	0
eng_test_1100	0
eng_test_1101	1
eng_test_1102	1
eng_test_1103	1
eng_test_1104	1
eng_test_1105	1
eng_test_1106	1
eng_test_1107	1
eng_test_1108	0
eng_test_1109	0
eng_test_1110	0
eng_test_1111	0
eng_test_1112	0
eng_test_1113	1
eng_test_1114	0
eng_test_1115	0
eng_test_1116	0
eng_test_1117	0
eng_test_1118	1
eng_test_1119	0
eng_test_1120	1
eng_test_1121	0
eng_test_1122	1
eng_test_1123	1
eng_test_1124	0
eng_test_1125	1
eng_test_1126	0
eng_test_1127	1
eng_test_1128	0
eng_test_1129	1
eng_test_1130	1
eng_test_1131	0
eng_test_1132	1
eng_test_1133	1
eng_test_1134	1
eng_test_1135	1
eng_test_1136	1
eng_test_1137	0
eng_test_1138	0
eng_test_1139	1
eng_test_1140	0
eng_test_1141	0
eng_test_1142	1
eng_test_1143	0
eng_test_1144	0
eng_test_1145	1
eng_test_1146	1
eng_test_1147	0
eng_test_1148	1
eng_test_1149	0
eng_test_1150	0
eng_test_1151	0
eng_test_1152	0
eng_test_1153	0
eng_test_1154	0
eng_test_1155	0
eng_test_1156	1
eng_test_1157	0
eng_test_1158	0
eng_test_1159	1
eng_test_1160	1
eng_test_1161	0
eng_test_1162	0
eng_test_1163	1
eng_test_1164	1
eng_test_1165	1
eng_test_1166	1
eng_test_1167	1
eng_test_1168	0
eng_test_1169	0
eng_test_1170	1
eng_test_1171	0
eng_test_1172	1
eng_test_1173	1
eng_test_1174	1
eng_test_1175	1
eng_test_1176	0
eng_test_1177	1
eng_test_1178	1
eng_test_1179	0
eng_test_1180	0
eng_test_1181	1
eng_test_1182	1
eng_test_1183	0
eng_test_1184	0
eng_test_1185	0
eng_test_1186	0
eng_test_1187	0
eng_test_1188	0
eng_test_1189	1
eng_test_1190	1
eng_test_1191	1
eng_test_1192	0
eng_test_1193	1
eng_test_1194	0
eng_test_1195	1
eng_test_1196	1
eng_test_1197	1
eng_test_1198	1
eng_test_1199	1
eng_test_1200	0
eng_test_1201	0
eng_test_1202	1
eng_test_1203	1
eng_test_1204	0
eng_test_1205	0
eng_test_1206	0
eng_test_1207	0
eng_test_1208	0
eng_test_1209	1
eng_test_1210	0
eng_test_1211	0
eng_test_1212	1
eng_test_1213	1
eng_test_1214	1
eng_test_1215	1
eng_test_1216	1
eng_test_1217	1
eng_test_1218	1
eng_test_1219	1
eng_test_1220	0
eng_test_1221	1
eng_test_1222	1
eng_test_1223	1
eng_test_1224	1
eng_test_1225	0
eng_test_1226	0
eng_test_1227	1
eng_test_1228	0
eng_test_1229	0
eng_test_1230	1
eng_test_1231	0
eng_test_1232	0
eng_test_1233	0
eng_test_1234	0
eng_test_1235	1
eng_test_1236	0
eng_test_1237	1
eng_test_1238	1
eng_test_1239	1
eng_test_1240	0
eng_test_1241	0
eng_test_1242	0
eng_test_1243	1
eng_test_1244	0
eng_test_1245	0
eng_test_1246	1
eng_test_1247	1
eng_test_1248	0
eng_test_1249	0
eng_test_1250	1
eng_test_1251	1
eng_test_1252	1
eng_test_1253	1
eng_test_1254	1
eng_test_1255	0
eng_test_1256	0
eng_test_1257	1
eng_test_1258	1
eng_test_1259	1
eng_test_1260	0
eng_test_1261	1
eng_test_1262	1
eng_test_1263	0
eng_test_1264	1
eng_test_1265	1
eng_test_1266	0
eng_test_1267	1
eng_test_1268	1
eng_test_1269	1
eng_test_1270	0
eng_test_1271	0
eng_test_1272	1
eng_test_1273	1
eng_test_1274	1
eng_test_1275	1
eng_test_1276	1
eng_test_1277	1
eng_test_1278	1
eng_test_1279	1
eng_test_1280	0
eng_test_1281	1
eng_test_1282	1
eng_test_1283	0
eng_test_1284	1
eng_test_1285	0
eng_test_1286	1
eng_test_1287	0
eng_test_1288	1
eng_test_1289	1
eng_test_1290	1
eng_test_1291	0
eng_test_1292	0
eng_test_1293	0
eng_test_1294	1
eng_test_1295	1
eng_test_1296	0
eng_test_1297	0
eng_test_1298	1
eng_test_1299	1
eng_test_1300	0
eng_test_1301	1
eng_test_1302	0
eng_test_1303	0
eng_test_1304	0
eng_test_1305	0
eng_test_1306	1
eng_test_1307	1
eng_test_1308	1
eng_test_1309	0
eng_test_1310	1
eng_test_1311	0
eng_test_1312	0
eng_test_1313	1
eng_test_1314	1
eng_test_1315	1
eng_test_1316	0
eng_test_1317	1
eng_test_1318	0
eng_test_1319	0
eng_test_1320	1
eng_test_1321	1
eng_test_1322	1
eng_test_1323	0
eng_test_1324	1
eng_test_1325	0
eng_test_1326	1
eng_test_1327	0
eng_test_1328	1
eng_test_1329	1
eng_test_1330	0
eng_test_1331	1
eng_test_1332	1
eng_test_1333	1
eng_test_1334	1
eng_test_1335	1
eng_test_1336	0
eng_test_1337	1
eng_test_1338	1
eng_test_1339	1
eng_test_1340	0
eng_test_1341	1
eng_test_1342	1
eng_test_1343	1
eng_test_1344	0
eng_test_1345	1
eng_test_1346	0
eng_test_1347	0
eng_test_1348	1
eng_test_1349	1
eng_test_1350	1
eng_test_1351	0
eng_test_1352	1
eng_test_1353	0
eng_test_1354	1
eng_test_1355	0
eng_test_1356	1
eng_test_1357	1
eng_test_1358	1
eng_test_1359	0
eng_test_1360	1
eng_test_1361	1
eng_test_1362	1
eng_test_1363	0
eng_test_1364	0
eng_test_1365	1
eng_test_1366	0
eng_test_1367	0
eng_test_1368	0
eng_test_1369	0
eng_test_1370	1
eng_test_1371	1
eng_test_1372	1
eng_test_1373	0
eng_test_1374	1
eng_test_1375	1
eng_test_1376	0
eng_test_1377	0
eng_test_1378	0
eng_test_1379	0
eng_test_1380	0
eng_test_1381	1
eng_test_1382	0
eng_test_1383	1
eng_test_1384	1
eng_test_1385	0
eng_test_1386	0
eng_test_1387	0
eng_test_1388	1
eng_test_1389	0
eng_test_1390	0
eng_test_1391	0
eng_test_1392	1
eng_test_1393	1
eng_test_1394	1
eng_test_1395	1
eng_test_1396	0
eng_test_1397	0
eng_test_1398	0
eng_test_1399	0
eng_test_1400	1
eng_test_1401	1
eng_test_1402	1
eng_test_1403	1
eng_test_1404	1
eng_test_1405	0
eng_test_1406	0
eng_test_1407	1
eng_test_1408	1
eng_test_1409	0
eng_test_1410	1
eng_test_1411	1
eng_test_1412	0
eng_test_1413	0
eng_test_1414	1
eng_test_1415	0
eng_test_1416	1
eng_test_1417	1
eng_test_1418	0
eng_test_1419	0
eng_test_1420	0
eng_test_1421	1
eng_test_1422	1
eng_test_1423	1
eng_test_1424	1
eng_test_1425	1
eng_test_1426	1
eng_test_1427	1
eng_test_1428	0
eng_test_1429	1
eng_test_1430	0
eng_test_1431	1
eng_test_1432	1
eng_test_1433	1
eng_test_1434	1
eng_test_1435	1
eng_test_1436	1
eng_test_1437	0
eng_test_1438	0
eng_test_1439	0
eng_test_1440	0
eng_test_1441	1
eng_test_1442	1
eng_test_1443	1
eng_test_1444	1
eng_test_1445	1
eng_test_1446	1
eng_test_1447	1
eng_test_1448	1
eng_test_1449	1
eng_test_1450	0
eng_test_1451	0
eng_test_1452	0
eng_test_1453	1
eng_test_1454	1
eng_test_1455	1
eng_test_1456	1
eng_test_1457	1
eng_test_1458	1
eng_test_1459	1
eng_test_1460	1
eng_test_1461	0
eng_test_1462	1
eng_test_1463	0
eng_test_1464	0
eng_test_1465	1
eng_test_1466	0
eng_test_1467	0
eng_test_1468	0
eng_test_1469	1
eng_test_1470	1
eng_test_1471	0
eng_test_1472	1
eng_test_1473	1
eng_test_1474	1
eng_test_1475	1
eng_test_1476	0
eng_test_1477	0
eng_test_1478	0
eng_test_1479	1
eng_test_1480	1
eng_test_1481	0
eng_test_1482	1
eng_test_1483	0
eng_test_1484	1
eng_test_1485	0
eng_test_1486	1
eng_test_1487	1
eng_test_1488	0
eng_test_1489	1
eng_test_1490	1
eng_test_1491	1
eng_test_1492	1
eng_test_1493	1
eng_test_1494	0
eng_test_1495	0
eng_test_1496	1
eng_test_1497	0
